run,dataset,calibration,selected_step,lower,upper,n,confidence,accuracy
seed-42,mail_spam,uncalibrated,2800,0.7333333333333333,0.8,0,,
seed-42,mail_spam,uncalibrated,2800,0.8,0.8666666666666667,0,,
seed-42,mail_spam,uncalibrated,2800,0.8666666666666667,0.9333333333333333,0,,
seed-42,mail_spam,uncalibrated,2800,0.9333333333333333,1.0,854,0.9999672815169877,0.9894613583138173
seed-42,massive_en-US,uncalibrated,2800,0.0,0.06666666666666667,0,,
seed-42,massive_en-US,uncalibrated,2800,0.06666666666666667,0.13333333333333333,0,,
seed-42,massive_en-US,uncalibrated,2800,0.13333333333333333,0.2,3,0.17993514631090765,0.3333333333333333
seed-42,massive_en-US,uncalibrated,2800,0.2,0.26666666666666666,6,0.24410850023721672,0.0
seed-42,massive_en-US,uncalibrated,2800,0.26666666666666666,0.3333333333333333,18,0.2960020486067815,0.1111111111111111
seed-42,massive_en-US,uncalibrated,2800,0.3333333333333333,0.4,67,0.36944852480178814,0.2835820895522388
seed-42,massive_en-US,uncalibrated,2800,0.4,0.4666666666666667,84,0.43661492740610114,0.36904761904761907
seed-42,massive_en-US,uncalibrated,2800,0.4666666666666667,0.5333333333333333,135,0.50172432571523,0.3925925925925926
seed-42,massive_en-US,uncalibrated,2800,0.5333333333333333,0.6,140,0.5668097817862376,0.5928571428571429
seed-42,massive_en-US,uncalibrated,2800,0.6,0.6666666666666666,150,0.6322755845490584,0.5266666666666666
seed-42,massive_en-US,uncalibrated,2800,0.6666666666666666,0.7333333333333333,145,0.7016807857209566,0.6551724137931034
seed-42,massive_en-US,uncalibrated,2800,0.7333333333333333,0.8,185,0.7692484494548997,0.6648648648648648
seed-42,massive_en-US,uncalibrated,2800,0.8,0.8666666666666667,233,0.834864175479937,0.776824034334764
seed-42,massive_en-US,uncalibrated,2800,0.8666666666666667,0.9333333333333333,351,0.9046291340939677,0.8290598290598291
seed-42,massive_en-US,uncalibrated,2800,0.9333333333333333,1.0,1453,0.9813522186384279,0.9532002752924983
seed-42,massive_zh-CN,uncalibrated,2800,0.0,0.06666666666666667,0,,
seed-42,massive_zh-CN,uncalibrated,2800,0.06666666666666667,0.13333333333333333,1,0.12527791628227095,0.0
seed-42,massive_zh-CN,uncalibrated,2800,0.13333333333333333,0.2,6,0.1592622034078444,0.16666666666666666
seed-42,massive_zh-CN,uncalibrated,2800,0.2,0.26666666666666666,13,0.23967382952155275,0.07692307692307693
seed-42,massive_zh-CN,uncalibrated,2800,0.26666666666666666,0.3333333333333333,30,0.30118533087220756,0.3333333333333333
seed-42,massive_zh-CN,uncalibrated,2800,0.3333333333333333,0.4,45,0.37137922804946655,0.28888888888888886
seed-42,massive_zh-CN,uncalibrated,2800,0.4,0.4666666666666667,73,0.43666036233820626,0.4520547945205479
seed-42,massive_zh-CN,uncalibrated,2800,0.4666666666666667,0.5333333333333333,133,0.5036662477205269,0.42105263157894735
seed-42,massive_zh-CN,uncalibrated,2800,0.5333333333333333,0.6,158,0.5656688120261618,0.4620253164556962
seed-42,massive_zh-CN,uncalibrated,2800,0.6,0.6666666666666666,178,0.6340076909213097,0.5056179775280899
seed-42,massive_zh-CN,uncalibrated,2800,0.6666666666666666,0.7333333333333333,174,0.7009714930629243,0.5919540229885057
seed-42,massive_zh-CN,uncalibrated,2800,0.7333333333333333,0.8,169,0.7679001367640573,0.727810650887574
seed-42,massive_zh-CN,uncalibrated,2800,0.8,0.8666666666666667,219,0.8345835189478031,0.7579908675799086
seed-42,massive_zh-CN,uncalibrated,2800,0.8666666666666667,0.9333333333333333,299,0.9029500416434547,0.8461538461538461
seed-42,massive_zh-CN,uncalibrated,2800,0.9333333333333333,1.0,1423,0.982442272479873,0.9290231904427266
seed-42,scienceqa,uncalibrated,2800,0.0,0.06666666666666667,0,,
seed-42,scienceqa,uncalibrated,2800,0.06666666666666667,0.13333333333333333,0,,
seed-42,scienceqa,uncalibrated,2800,0.13333333333333333,0.2,0,,
seed-42,scienceqa,uncalibrated,2800,0.2,0.26666666666666666,0,,
seed-42,scienceqa,uncalibrated,2800,0.26666666666666666,0.3333333333333333,0,,
seed-42,scienceqa,uncalibrated,2800,0.3333333333333333,0.4,0,,
seed-42,scienceqa,uncalibrated,2800,0.4,0.4666666666666667,2,0.4104971531545406,0.5
seed-42,scienceqa,uncalibrated,2800,0.4666666666666667,0.5333333333333333,8,0.5236668828519202,0.375
seed-42,scienceqa,uncalibrated,2800,0.5333333333333333,0.6,27,0.5749108507018603,0.5555555555555556
seed-42,scienceqa,uncalibrated,2800,0.6,0.6666666666666666,22,0.6321329351089108,0.6363636363636364
seed-42,scienceqa,uncalibrated,2800,0.6666666666666666,0.7333333333333333,25,0.7020025191138478,0.36
seed-42,scienceqa,uncalibrated,2800,0.7333333333333333,0.8,18,0.767559312220889,0.3333333333333333
seed-42,scienceqa,uncalibrated,2800,0.8,0.8666666666666667,34,0.8333255943327712,0.6764705882352942
seed-42,scienceqa,uncalibrated,2800,0.8666666666666667,0.9333333333333333,47,0.9035924099373388,0.5957446808510638
seed-42,scienceqa,uncalibrated,2800,0.9333333333333333,1.0,1834,0.9981026618344563,0.965103598691385
seed-42,screenqa_choice,uncalibrated,2800,0.0,0.06666666666666667,3,0.061366621599287054,0.0
seed-42,screenqa_choice,uncalibrated,2800,0.06666666666666667,0.13333333333333333,145,0.10764324238239475,0.08275862068965517
seed-42,screenqa_choice,uncalibrated,2800,0.13333333333333333,0.2,225,0.1660957869108307,0.14222222222222222
seed-42,screenqa_choice,uncalibrated,2800,0.2,0.26666666666666666,170,0.23400808003073814,0.19411764705882353
seed-42,screenqa_choice,uncalibrated,2800,0.26666666666666666,0.3333333333333333,127,0.29715236554628566,0.33070866141732286
seed-42,screenqa_choice,uncalibrated,2800,0.3333333333333333,0.4,77,0.36416428002702683,0.24675324675324675
seed-42,screenqa_choice,uncalibrated,2800,0.4,0.4666666666666667,46,0.434478346972497,0.32608695652173914
seed-42,screenqa_choice,uncalibrated,2800,0.4666666666666667,0.5333333333333333,17,0.4948639630139899,0.47058823529411764
seed-42,screenqa_choice,uncalibrated,2800,0.5333333333333333,0.6,30,0.5643944706918039,0.7
seed-42,screenqa_choice,uncalibrated,2800,0.6,0.6666666666666666,4,0.622015285845477,0.5
seed-42,screenqa_choice,uncalibrated,2800,0.6666666666666666,0.7333333333333333,3,0.6764861626126031,0.6666666666666666
seed-42,screenqa_choice,uncalibrated,2800,0.7333333333333333,0.8,0,,
seed-42,screenqa_choice,uncalibrated,2800,0.8,0.8666666666666667,0,,
seed-42,screenqa_choice,uncalibrated,2800,0.8666666666666667,0.9333333333333333,1,0.8835576567718595,1.0
seed-42,screenqa_choice,uncalibrated,2800,0.9333333333333333,1.0,0,,
seed-42,screenqa_noul,uncalibrated,2800,0.0,0.06666666666666667,0,,
seed-42,screenqa_noul,uncalibrated,2800,0.06666666666666667,0.13333333333333333,0,,
seed-42,screenqa_noul,uncalibrated,2800,0.13333333333333333,0.2,0,,
seed-42,screenqa_noul,uncalibrated,2800,0.2,0.26666666666666666,0,,
seed-42,screenqa_noul,uncalibrated,2800,0.26666666666666666,0.3333333333333333,0,,
seed-42,screenqa_noul,uncalibrated,2800,0.3333333333333333,0.4,0,,
seed-42,screenqa_noul,uncalibrated,2800,0.4,0.4666666666666667,0,,
seed-42,screenqa_noul,uncalibrated,2800,0.4666666666666667,0.5333333333333333,107,0.516415821731462,0.5327102803738317
seed-42,screenqa_noul,uncalibrated,2800,0.5333333333333333,0.6,242,0.5671796679804981,0.5991735537190083
seed-42,screenqa_noul,uncalibrated,2800,0.6,0.6666666666666666,284,0.6361622557229327,0.6302816901408451
seed-42,screenqa_noul,uncalibrated,2800,0.6666666666666666,0.7333333333333333,332,0.7008231726723372,0.7349397590361446
