unix_time,board_vram_bytes,gpu_busy_percent,power_microwatts,temperature_millidegrees,rss_bytes
1790304819.7474492,22576103424,0,75853000,44000,15425835008
1790304820.7479427,22576103424,3,97245000,44000,15425830912
1790304821.7488585,22576103424,100,322667000,56000,15425830912
1790304822.749825,22576103424,0,182878000,49000,15425851392
1790304823.7505786,22576103424,100,297161000,50000,15425892352
1790304824.7512598,22576103424,93,268797000,57000,15425867776
1790304825.7518785,22576103424,90,386395000,59000,15425871872
1790304826.752596,22576103424,96,373399000,56000,15425875968
1790304827.7535856,22576103424,53,231855000,57000,15428812800
1790304828.7541819,22576103424,0,233130000,57000,15429525504
1790304829.7546883,22576103424,100,286330000,56000,15430414336
1790304830.7551646,22576103424,100,367468000,59000,15430414336
1790304831.755928,22576103424,21,208271000,48000,15431553024
1790304832.7587445,22576103424,100,317467000,58000,15432380416
1790304833.7594178,22576103424,0,243956000,59000,15433162752
1790304834.760104,22576103424,100,358666000,59000,15433175040
1790304835.7606688,22576103424,100,250348000,49000,15438295040
1790304836.7612536,22576103424,0,85633000,48000,15438413824
1790304837.7618473,22576103424,93,100360000,48000,15460642816
1790304838.762294,22576103424,0,85192000,47000,15460642816
1790304839.7628293,22576103424,0,69527000,47000,15460642816
1790304840.7637115,22576103424,0,62173000,46000,15466213376
1790304841.764195,22576103424,0,54817000,45000,15466213376
1790304842.7647552,22578200576,61,69242000,46000,15466213376
1790304843.7654939,22578200576,0,85223000,46000,15466192896
1790304844.766064,22578200576,100,295928000,57000,15466229760
1790304845.7667441,22578200576,0,230561000,50000,15466201088
1790304846.767269,22578200576,100,185856000,55000,15466213376
1790304847.7682388,22578200576,100,333593000,52000,15466217472
1790304848.7688358,22578200576,83,279570000,57000,15466217472
1790304849.7697287,22578200576,100,318736000,59000,15466262528
1790304850.7704527,22578200576,0,145146000,48000,15466274816
1790304851.7713728,22578200576,100,343249000,60000,15466278912
1790304852.772248,22578200576,100,388988000,61000,15466283008
1790304854.2467623,22578200576,0,219898000,49000,15468380160
1790304855.2475553,22578200576,0,197712000,49000,15468384256
1790304856.248182,22578200576,0,236632000,50000,15468421120
1790304857.2491395,22578200576,100,234054000,59000,15468384256
1790304858.250061,22578200576,0,279832000,51000,15468388352
1790304859.251152,22578200576,0,259908000,51000,15468392448
1790304860.2516153,22578200576,100,264126000,60000,15468392448
1790304861.2533202,22578200576,100,357855000,60000,15468392448
1790304862.253985,22578200576,100,376126000,62000,15468429312
1790304863.2546918,22578200576,100,186057000,60000,15468396544
1790304864.2554562,22578200576,100,383154000,62000,15468396544
1790304865.2561734,22578200576,4,350277000,55000,15468433408
1790304866.2567255,22578200576,100,277844000,60000,15468396544
1790304867.257484,22578200576,17,340396000,56000,15468396544
1790304868.258144,22578200576,39,286416000,60000,15468986368
1790304869.2586956,22578200576,24,84279000,50000,15469150208
1790304870.2594335,22578200576,3,119185000,51000,15486271488
1790304871.2601125,22578200576,0,86000000,49000,15490023424
1790304872.2607448,22578200576,0,67306000,48000,15490023424
1790304873.2613804,22578200576,0,61051000,48000,15490023424
1790304874.2622457,22578200576,0,55064000,47000,15490834432
1790304875.262819,22578200576,0,55509000,47000,15490826240
1790304876.2637677,22578200576,0,71346000,47000,15490834432
1790304877.2644057,22578200576,100,116153000,55000,15490805760
1790304878.2671342,22578200576,100,361225000,59000,15490805760
1790304879.267919,22578200576,100,287311000,58000,15490805760
1790304880.2906616,22578200576,0,337085000,53000,15490826240
1790304881.2912817,22578200576,0,72079000,48000,15490912256
1790304882.3062098,22578200576,5,102953000,49000,15490891776
1790304883.3068757,22578200576,0,87711000,48000,15508361216
1790304884.307318,22578200576,0,86364000,47000,15508361216
1790304885.3078797,22578200576,0,68485000,47000,15508361216
1790304886.3087256,22578200576,0,61595000,46000,15509970944
1790304887.3094804,22578200576,0,54853000,46000,15509970944
1790304888.3102493,22578200576,0,68916000,46000,15509979136
1790304889.3110664,22578200576,0,86763000,46000,15509942272
1790304890.3119278,22578200576,100,315057000,57000,15509942272
1790304891.3127792,22578200576,63,295592000,51000,15509942272
1790304892.3135426,22578200576,86,375073000,60000,15509942272
1790304893.3141418,22578200576,97,386510000,60000,15509983232
1790304894.315253,22578200576,100,274885000,60000,15509946368
1790304895.3160655,22578200576,98,387211000,61000,15509991424
